Element ID	Element Name	Description
2.E.1.o	Procedure management software	Software to create, manage, or monitor various work flow procedures, to increase efficiency in time or costs.
2.E.1.p	Process mapping and design software	Software to create visual representations of business work flows, also called flow charts or workflow diagrams.
2.E.2	Finance accounting and enterprise resource planning ERP software	Software to manage financial activities, including accounts payable, accounts receivable, billing, cost analysis, tax preparation, or financial reporting.
2.E.2.a	Accounting software	Software to enable business functions relating to accounting, such as recording transactions or managing budgets.
2.E.2.b	Enterprise resource planning ERP software	Software to integrate, monitor, or analyze data from multiple business operations within a unified system.
2.E.2.c	Tax preparation software	Software to manage or prepare financial information for tax reporting purposes.
2.E.2.d	Financial analysis software	Software to gather information or conduct financial analysis.
2.E.2.e	Time accounting software	Software to submit or manage time accounting for human resources.
2.E.2.f	Billing and invoicing software	Software to organize or automate billing, invoicing, or payment collection processes.
2.E.3	Computer game or entertainment software	Software to play games or provide entertainment on a computer.
2.E.3.a	Action games	Software games that focus on action or dexterity skills.
2.E.3.b	Music or sound editing software	Software to record or convert analog sounds to a digital format, or to apply effects such as fades, noise filtering, or volume adjustment.
2.E.4	Content authoring and editing software	Software to create or edit digital content.
2.E.4.a	Pattern design software	Software to design or print custom cross-stitch or needlework patterns. May import photos or hand-drawn images.
2.E.4.b	Graphics or photo imaging software	Software to draw or manipulate images. May adjust colors, add text, or apply special effects.
2.E.4.c	Video creation and editing software	Software to enable production of video content.
2.E.4.d	Word processing software	Software to create, edit, store, or print documents.
2.E.4.e	Charting software	Software to draw or create diagrams or charts. May include pre-built templates.
2.E.4.f	Presentation software	Software to create presentations, speeches, or slideshows.
2.E.4.g	Web page creation and editing software	Software to develop or edit web sites or individual pages.
2.E.4.h	Calendar and scheduling software	Software to plan or organize the activities of a person or group.
2.E.4.i	Spreadsheet software	Software to create or edit numbers or text organized into rows and columns of cells. May include formulas which recalculate values based on other cells.
2.E.4.j	Optical character reader OCR or scanning software	Software to convert an image of text, such as a scanned paper document or electronic fax file, into electronic text which can be edited or used in other applications.
2.E.4.k	Desktop publishing software	Software to create or edit text and graphics into documents such as books, magazines, brochures, or manuals.
2.E.5	Content management software	Software to organize, store, or manage documents or media.
2.E.5.a	Content workflow software	Software to create, manage, or optimize content creation processes. May include collaboration or scheduling features.
2.E.5.b	Document management software	Software to store, organize, or search documents or files from other software or from paper copies.
2.E.5.c	File versioning software	Software to archive and track edits to files for comparison and reference.
2.E.6	Data management and query software	Software to store, retrieve, or analyze data.
2.E.6.a	Categorization or classification software	Software to organize or label large amounts of information for easier searching or management.
2.E.6.b	Clustering software	Software to combine and share resources across different technology tiers or architectures.
2.E.6.c	Customer relationship management CRM software	Software to manage customer interactions.
2.E.6.d	Data base management system software	Software to store, organize, or provide access to a set of related information.
2.E.6.e	Data base reporting software	Software to produce summaries or visualizations of raw data stored in a database system.
2.E.6.f	Data base user interface and query software	Software to query, present, or edit information stored in a database sytem.
2.E.6.g	Data mining software	Software to access or automatically extract information from a data source.
2.E.6.h	Information retrieval or search software	Software to efficiently search or access data from sources such as large collections of documents.
2.E.6.i	Metadata management software	Software to manage or store "data about data" such as author, creation date, file size, or keywords.
2.E.6.j	Object oriented data base management software	Software to store, organize, or provide access to data represented as a set of objects, rather than tables.
